dateRep,Outflow HHP1,Inflow  HPP1,Inflow HPP2,Production HPP1,Production HPP2
2012/08/18,155.32656788546242,22.012595956319956,16.36955849522984,2117.10403,3141.1787289999997
2012/08/19,109.06659397774253,20.0,11.817177838157903,2118.323396,3266.8647759999994
2012/08/20,109.10427017559911,39.256445508598844,16.915032706262835,2231.3031509999996,2844.4089599999998
2012/08/21,115.16291257899127,26.62899375746862,11.411990965617804,2015.5075239999992,2558.6687520000005
2012/08/22,103.97695820940615,64.98494867952427,15.304864989057407,1350.142331,2046.5370570000005
2012/08/23,69.65985514170258,46.97252945925547,14.49023697774416,1342.6071239999999,1988.3985340000004
2012/08/24,69.2951770268633,62.33913043324957,12.225718094337736,1411.3555070000002,2012.7781820000002
2012/08/25,72.81213793775531,38.689311710386406,9.34362194157245,959.9104430000001,2736.7636140000004
2012/08/26,49.44016275138113,33.67276439987939,15.794785981067633,1508.260614,2545.5014479999995
2012/08/27,77.3001564672052,51.83372640638888,12.539787969610245,1823.7834879999998,2525.572293999999
2012/08/28,93.50689160582735,31.899347574868038,14.896405778727797,1612.7021169999998,2290.4378429999997
2012/08/29,81.68422693482142,27.382392082070133,12.476869989131231,1376.5888559999999,2743.7499700000008
2012/08/30,70.24312154331746,67.21133700193914,29.531597393218604,1037.534782,2355.746891
2012/08/31,52.91449908494518,63.31283070648178,48.24939340942073,1318.0254079999995,1861.1539850000004
2012/09/01,67.21140880150985,25.48837103225629,54.0,1241.1459309999998,2523.84713
2012/09/02,63.32027575458638,34.92762068280085,28.835081817462118,1246.5507309999998,1731.2608870000006
2012/09/03,63.66111408804038,42.77728799693341,21.716122001832545,933.8838270000001,2118.669159
2012/09/04,47.64251959873428,39.22619467120486,20.988458438459247,923.1409930000001,1901.7723530000007
2012/09/05,47.021713790747604,45.941597826916606,26.28375554279728,1183.8193560000002,1945.7303339999999
2012/09/06,60.37718567516992,45.22428608082159,16.601911837539248,1563.6247479999995,2049.619597
2012/09/07,79.76330975673574,33.526114852005094,14.40296887521032,1545.528913,2806.1083480000007
2012/09/08,78.97481500283415,45.534174480391414,20.87220268188483,2379.0293690000003,2415.478154
2012/09/09,121.59647630864403,28.109859608730076,20.0,2111.608127,2121.804284
2012/09/10,108.20932390169763,27.0,18.82027739604871,2087.179241,2256.275285
2012/09/11,107.1292938378128,26.67505619185679,26.43669014763549,2094.4212540000003,532.376618
2012/09/12,108.40014426428567,39.36771042039133,16.36535910138923,1305.2833329999999,1672.6402369999992
2012/09/13,67.95391609806887,25.0,23.974826296139156,2785.301167,2136.746002
2012/09/14,145.97340264742914,25.0,15.421136850342464,2419.1755930000004,2713.2450179999996
2012/09/15,127.91311004531597,36.27547509391324,19.444199081851636,2223.5714900000007,2948.9175259999997
2012/09/16,117.5288537195447,29.596106397973607,9.71681816928266,1221.7954109999998,3408.87187
2012/09/17,64.57062385690757,37.12797798326364,7.799772578870549,332.14858599999997,3495.020091
2012/09/18,17.47364376367301,53.45598740921055,12.0,719.4313189999997,2995.0783549999996
2012/09/19,37.15025058734675,60.23154435113137,15.218559801392118,1037.6772190000002,2171.4271320000007
2012/09/20,53.439364502590195,198.44512978622305,14.040127882711914,1877.4608679999997,2898.97668
2012/09/21,96.54251162495767,126.44936368919221,130.81187494495066,2436.0618519999994,4824.636253000001
2012/09/22,125.45480894852611,114.27378520280091,243.21224596684786,1664.8393360000002,5529.619518999998
2012/09/23,85.82686707908924,81.1302070490832,88.76797976778758,1665.6046729999996,3985.9545700000012
2012/09/24,85.78934010023566,43.037099933593574,60.16315264907918,1892.0760529999998,3192.8166470000006
2012/09/25,97.39507674521353,52.39483157195094,50.13869446380566,1307.723254,1989.7776130000004
2012/09/26,67.37850204743,180.14450010142662,83.41210572979811,1722.0564060000002,1836.2015019999994
2012/09/27,88.84800348969382,219.82849470910236,281.8576653346841,0.0,2101.1985279999994
2012/09/28,0.0,197.2033018802966,213.5542611571828,0.0,1837.7733820000008
2012/09/29,0.0,131.06438294522624,198.2120608688644,0.0,2213.488567
2012/09/30,0.0,144.61001274950164,115.2413877015655,0.0,3818.521756
2012/10/01,0.0,153.56406496753235,70.57555323301229,89.841743,4808.9077640000005
2012/10/02,4.632115357340287,64.88937737348098,80.81122299597129,3322.2544550000007,3544.2924029999995
2012/10/03,170.5028039910983,86.27069493162469,62.16558281398099,2978.8377720000003,4544.292433999999
2012/10/04,153.8278696429413,80.56200820927162,58.688742764874036,3384.8003579999995,5040.377936999999
2012/10/05,175.00230417923837,83.28017950707604,54.89024071419141,2617.0748060000005,4792.069784000001
2012/10/06,135.32620127730368,44.62841202414353,47.97414857317955,3065.361498,4181.211520999999
2012/10/07,158.7864997840589,78.43418844891511,47.570801527854314,3258.117349000001,4276.560638000002
2012/10/08,169.4203377299843,82.59912993299918,42.1600268836479,3797.8414370000005,4839.8831660000005
2012/10/09,198.34952441272486,110.84948560066475,74.32673202939071,2523.6533039999995,5072.309261999999
2012/10/10,132.03729061574305,105.26504843275758,86.40152782089619,1812.6964240000002,4071.099296
2012/10/11,94.34796026550724,111.80696645678495,80.26214182391442,1463.0974460000002,2213.6577179999995
2012/10/12,76.3949686368923,67.38315418443595,64.15438578119652,1822.0157180000003,2662.430602
2012/10/13,95.25981069226785,104.85490128226087,56.4907360818537,2856.382629,4377.511195
2012/10/14,149.70949134427852,175.10330249999052,40.03359558286259,1215.7962129999999,4332.502152000001
2012/10/15,63.580134826749656,198.22293273651974,79.38408466653974,0.0,5074.251714999999
2012/10/16,0.0,191.8986602784001,338.5487316368056,0.0,5449.900684000001
2012/10/17,0.0,163.5698683441667,249.77099989439645,0.0,5265.127721999999
2012/10/18,0.0,145.77756163582833,140.66198925954026,0.0,5832.941916
2012/10/19,0.0,90.32594946182223,134.29781251578225,3567.8784280000004,2143.6377730000004
2012/10/20,180.29104028288774,96.75586825792999,101.0,3272.0476289999997,2621.2894810000003
2012/10/21,167.31238321693922,105.99361742698827,77.89256495058042,1799.1652769999998,3875.586953
2012/10/22,92.53773105452741,129.81554786752216,69.90101580799116,1645.8401789999998,3637.750816
2012/10/23,84.57699205341376,93.03593400807242,58.87251282603115,818.713138,3468.9147269999994
